,RAJ2000,DEJ2000,Dist,Bmag,BmagHyp,ImagHyp,modzHyp,mod0Hyp,logd25Hyp,logr25Hyp,logdcHyp,PAHyp,BmagHypC,ImagHypC,U-BHypC,B-VHypC,Jmag2,Hmag2,Kmag2,a_b,PAK,BmagGWGC,maj,min,PAGWGC,DistGWGC,Kmag2MPZ,Bmag2MPZ,zsp2MPZ,zph2MPZ,Flag
667750,116.29568499999999,7.93330111111111,68.347,13.77,14.91,,34.32,,1.25,0.58,1.24,15.8,13.77,,,,11.693,10.863,10.511,0.2,15.0,13.77,1.316,0.382,16.0,68.347,10.5,14.471,0.016980000000000002,0.019058,0
667785,51.825198888888885,-34.52643194444444,18.621,14.18,13.95,12.2,30.95,31.55,1.17,0.28,1.16,30.5,13.89,12.18,,0.81,11.602,10.959,10.764,0.4,30.0,14.18,0.931,0.447,30.5,18.621,10.76,13.906,0.004150000000000001,0.007978,0
667798,62.47952694444444,-39.688736111111105,87.083,14.01,14.39,,34.71,,1.05,0.18,1.05,83.9,13.98,,,,11.414,10.766,10.459,0.5,75.0,14.01,0.74,0.481,83.9,87.083,10.454,14.285,0.02142,0.027613,0
667805,144.33038305555553,33.82353194444444,94.222,14.79,15.72,14.17,35.03,,1.01,0.61,0.99,53.8,14.86,14.14,,,12.386,11.533,11.066,0.3,55.0,14.79,0.757,0.159,53.1,94.222,11.061,15.232,0.022710000000000004,0.028137,0
667823,196.82856805555554,2.0034711111111108,79.611,15.39,15.52,14.43,34.65,,0.76,0.06,,69.2,15.34,14.37,,,13.714,13.199,12.631,0.4,70.0,15.39,0.596,,69.2,79.611,12.621,14.748,0.019400000000000004,0.022645,0
667827,164.96228,-25.495669999999997,50.208,13.94,14.46,,33.59,,0.9,0.11,0.92,98.4,13.96,,,,12.115,11.423,11.157,0.8,90.0,13.94,0.549,0.428,98.4,50.208,11.13,13.815,0.012580000000000003,0.015083,0
667838,163.15983611111108,34.48278805555555,25.351,14.31,15.13,13.87,32.02,32.05,1.11,0.6,1.1,14.9,14.38,13.84,,,12.868,12.18,11.961,0.4,10.0,14.31,0.954,0.238,14.9,25.351,11.954,14.671,0.005240000000000001,0.01581,0
667848,180.34956388888887,13.310594999999998,97.944,16.54,16.67,15.03,35.05,,0.59,0.15,,40.4,16.47,14.98,,,13.543,12.845,12.638,0.6,45.0,16.54,0.389,0.275,40.4,97.944,12.627,16.381,0.023210000000000005,0.020935,0
667849,192.72044388888887,34.156841111111106,94.681,14.63,14.92,13.04,35.07,,1.13,0.15,1.13,47.3,14.72,13.01,,,11.647,10.963,10.682,0.6,50.0,14.63,0.407,0.33,47.3,94.681,10.678,14.311,0.022870000000000005,0.025514,0
667850,39.796008888888885,41.24563194444444,63.833,14.88,15.57,13.42,34.13,,0.97,0.21,0.99,7.0,14.88,13.29,,,12.726,11.978,11.727,0.7,15.0,14.88,0.998,0.659,7.0,63.833,11.701,14.685,0.014920000000000003,0.022212,0
667887,64.47226694444444,-56.61621888888888,90.903,14.66,14.84,12.09,34.84,,1.1,0.18,1.1,158.3,14.66,12.05,,0.85,11.483,10.765,10.443,0.7,-20.0,14.66,0.707,0.445,158.3,90.903,10.436,14.325,0.022190000000000005,0.0348,0
667914,156.57316611111108,-2.6727449999999995,73.625,16.89,17.06,15.3,34.44,,0.5,0.19,,32.5,16.84,15.23,,,14.24,13.609,13.404,0.7,40.0,16.89,0.316,0.204,32.5,73.625,13.39,16.732,,0.033277,0
667931,194.46919305555554,-22.63848111111111,97.778,15.52,16.07,14.25,35.05,,1.02,0.5,1.05,72.2,14.68,14.01,,,14.089,13.285,13.005,0.4,65.0,15.52,1.047,0.324,72.2,97.778,12.958,15.213,0.023730000000000005,0.029822,0
667964,68.83248111111111,-42.203399999999995,28.722,14.52,15.35,13.38,32.16,,0.97,0.51,0.96,76.0,14.53,13.34,,,12.89,12.209,11.994,0.4,75.0,14.52,0.66,0.238,76.0,28.722,11.985,14.935,0.006980000000000001,0.02699,0
