,RAJ2000,DEJ2000,Dist,Bmag,BmagHyp,ImagHyp,modzHyp,mod0Hyp,logd25Hyp,logr25Hyp,logdcHyp,PAHyp,BmagHypC,ImagHypC,U-BHypC,B-VHypC,Jmag2,Hmag2,Kmag2,a_b,PAK,BmagGWGC,maj,min,PAGWGC,DistGWGC,Kmag2MPZ,Bmag2MPZ,zsp2MPZ,zph2MPZ,Flag
669903,145.99691805555554,42.632728888888884,79.236,16.23,16.82,15.41,34.6,,0.72,0.35,0.71,86.9,16.17,15.38,,,14.427,13.699,13.484,0.6,85.0,16.23,0.525,0.235,86.9,79.236,13.478,16.334,0.018380000000000004,0.031008,0
669909,285.95483388888886,33.844653888888885,65.75,13.28,13.91,,34.19,,1.01,0.2,1.04,97.5,13.28,,,,11.27,10.545,10.237,0.5,-75.0,13.28,0.793,0.476,97.5,65.75,10.204,13.541,0.015090000000000003,0.01538,0
669938,16.304751944444444,-28.79791111111111,78.708,14.12,14.55,13.2,34.52,,0.95,0.17,0.96,50.4,14.11,13.15,,,12.742,12.116,11.881,0.6,25.0,14.12,0.645,0.426,50.4,78.708,11.87,14.25,0.019090000000000003,0.019439,0
669957,31.40540694444444,6.77198111111111,79.333,14.3,14.52,,34.57,,0.98,0.47,0.99,24.7,13.62,,,,12.083,11.403,11.047,0.3,25.0,14.3,0.74,0.259,24.5,79.333,11.029,13.929,0.01887,0.024298,0
669989,21.59406305555555,9.90997111111111,23.659,14.7,15.41,,32.62,,1.15,0.4,1.2,154.7,14.77,,,,12.435,11.707,11.393,0.5,-30.0,14.7,1.173,0.563,154.7,23.659,11.34,14.657,0.007590000000000001,0.013391,0
670000,344.4789119444444,-35.858036111111105,24.21,12.29,12.9,11.37,32.07,31.96,1.52,0.26,1.51,105.4,12.38,11.34,,,10.651,9.955,9.701,0.3,-75.0,12.29,2.184,0.415,104.9,24.21,9.696,12.672,0.006430000000000001,0.010368,0
670008,324.5331119444444,-42.60480888888888,75.417,14.96,15.11,12.98,34.49,,0.94,0.26,0.94,119.4,14.93,12.95,,,12.21,11.551,11.294,1.0,80.0,14.96,0.871,0.479,119.4,75.417,11.286,14.867,0.019010000000000003,0.025818,0
670009,295.91946388888886,56.10944388888888,52.347,12.19,12.95,10.25,33.73,,1.28,0.14,1.33,50.0,12.19,10.01,,0.65,9.314,8.556,8.262,0.8,45.0,12.19,1.695,1.203,50.0,52.347,8.216,11.863,0.011290000000000001,0.008217,0
670049,59.889061111111104,42.61657305555555,15.488,14.16,16.18,,34.52,,0.89,0.5,1.02,25.5,14.07,,,,11.938,11.235,10.858,0.5,60.0,14.16,0.629,0.34,25.5,15.488,10.7,14.501,0.018000000000000002,0.029403,0
670057,149.17745999999997,15.637881944444443,62.431,13.99,14.2,,34.13,,1.05,0.34,1.05,18.5,13.99,,,,12.934,12.324,12.014,0.4,20.0,13.99,0.793,0.397,18.5,62.431,12.003,14.267,,0.018646,0
670070,46.28509888888888,-13.005158055555555,64.014,14.34,16.23,13.91,34.13,,1.09,0.84,1.09,131.7,14.52,13.78,,,12.911,12.148,11.781,0.3,-50.0,14.34,1.23,0.178,132.2,64.014,11.754,15.315,0.015830000000000004,0.044195,0
670072,356.38827499999996,1.688701111111111,75.597,14.57,14.79,,34.44,,1.11,0.43,1.1,128.6,14.57,,,,11.657,10.952,10.733,0.4,-50.0,14.57,1.021,0.408,128.6,75.597,10.721,14.236,0.01776,0.015232,0
670074,74.84535194444443,-11.132258888888888,52.389,13.31,13.82,,33.69,,1.14,0.03,1.2,,13.31,,,,10.482,9.76,9.473,0.8,15.0,13.31,1.2,0.912,,52.389,9.435,13.122,0.012960000000000001,0.013282,0
670091,295.2990419444444,43.41298694444444,67.194,14.35,15.17,,34.24,,0.82,0.0,0.89,,14.35,,,,11.704,10.964,10.719,0.5,45.0,14.35,0.478,0.478,,67.194,10.651,14.068,0.015380000000000003,0.018397,0
670098,27.87464694444444,13.131758888888887,68.403,14.88,15.34,13.72,34.24,,0.92,0.1,0.95,137.1,14.77,13.56,,,13.912,13.269,12.985,0.5,-40.0,14.88,1.045,0.888,137.1,68.403,12.954,17.804,0.016130000000000002,0.026375,0
670140,202.75680499999999,37.56303,74.264,15.69,15.72,14.53,34.45,,0.71,0.04,,,15.63,14.52,,,13.22,12.566,12.253,0.9,20.0,15.69,0.513,0.468,,74.264,12.25,15.495,0.017320000000000002,0.033505,0
670162,113.1240161111111,-83.85154694444444,64.611,15.32,15.91,13.86,34.15,,0.8,0.19,,80.5,15.27,13.59,,,12.971,12.312,12.129,0.9,80.0,15.32,0.631,0.408,80.5,64.611,12.079,15.043,0.01648,0.011224,0
670175,149.44770805555552,10.027083888888887,88.222,15.56,15.75,14.53,34.85,,0.79,0.26,,163.4,15.5,14.45,,,13.207,12.465,12.166,0.7,-10.0,15.56,0.632,,163.4,88.222,12.15,15.445,0.021430000000000005,0.033297,0
670186,151.92594888888888,-35.18358194444444,60.472,14.45,14.92,,34.01,,0.94,0.05,0.98,168.5,14.35,,,,11.977,11.242,10.92,0.5,-25.0,14.45,0.871,0.776,168.5,60.472,10.88,14.482,0.015130000000000003,0.029616,0
670189,194.75752305555554,28.225259999999995,97.097,14.81,15.19,13.67,35.39,,0.98,0.33,0.97,115.9,15.02,13.65,,,12.2,11.427,11.166,0.5,-65.0,14.81,0.426,0.247,116.8,97.097,11.162,15.164,0.026750000000000003,0.030228,0
670228,148.69572388888886,-39.478118888888886,93.597,15.59,16.43,14.58,34.96,,0.61,0.06,,136.8,15.52,14.21,,,13.929,13.183,12.896,0.7,80.0,15.59,0.407,0.354,136.8,93.597,12.824,15.156,0.023150000000000004,0.026918,0
670231,303.69155888888884,-51.676429999999996,73.056,15.47,15.71,13.52,34.37,,0.88,0.29,,96.7,15.41,13.42,,,12.545,11.829,11.556,0.7,70.0,15.47,0.489,0.244,96.7,73.056,11.536,15.321,0.017700000000000004,0.038973,0
670234,269.9424130555555,36.67572,24.278,15.27,15.44,,31.97,,0.86,0.25,0.87,29.0,15.07,,,,13.803,13.222,12.873,0.6,25.0,15.27,0.561,0.325,29.0,24.278,12.859,14.683,,0.010864,0
670252,187.34806805555553,12.450561944444443,16.904,15.68,15.46,14.53,29.52,31.12,0.79,0.1,0.81,13.9,15.35,14.48,0.45,,14.58,13.895,13.62,0.6,30.0,15.68,0.617,0.49,13.9,16.904,13.612,15.895,0.0016700000000000003,0.019801,0
670267,54.662926111111105,-5.347368055555555,68.333,13.74,14.91,13.44,33.84,,1.16,0.52,1.16,80.1,13.76,13.34,,,12.213,11.537,11.273,0.3,75.0,13.74,0.975,0.283,80.1,68.333,11.255,14.17,0.013790000000000002,0.016518,0
670278,191.53735388888887,-41.060958888888884,34.083,15.91,16.43,14.49,32.77,,0.91,0.45,0.94,137.2,15.26,14.26,,,14.329,13.547,13.379,0.6,-35.0,15.91,0.813,0.289,137.2,34.083,13.335,15.669,,0.024382,0
670283,305.12292499999995,-0.6729738888888888,78.583,14.55,15.05,12.59,34.54,,0.89,0.29,0.92,63.0,14.38,12.4,,,11.604,10.904,10.638,0.7,70.0,14.55,0.692,,63.0,78.583,10.602,14.456,0.018370000000000004,0.016462,0
670299,65.36560805555554,5.927523888888888,69.264,15.85,16.9,,34.3,,0.75,0.4,0.84,113.5,15.15,,,,13.678,12.91,12.451,0.4,-65.0,15.85,0.562,0.224,113.5,69.264,12.363,15.522,,0.036928,0
670347,159.1601411111111,14.171541944444442,40.365,13.1,13.37,11.93,33.25,,1.18,0.29,1.19,172.0,13.16,11.85,,,10.437,9.752,9.489,0.6,-5.0,13.1,1.286,0.669,172.0,40.365,9.475,13.001,0.010060000000000001,0.013931,0
670365,280.83044388888885,-62.11234999999999,62.028,13.52,14.09,11.9,33.99,,1.03,0.28,1.08,5.6,13.52,11.68,,,11.012,10.303,10.004,0.4,5.0,13.52,0.74,0.466,5.6,62.028,9.963,13.827,0.015200000000000002,0.015989,0
670366,227.02848805555553,52.32440194444444,50.222,15.12,15.2,13.9,33.66,,0.92,0.35,,179.8,15.07,13.86,,,12.539,11.866,11.541,0.5,-10.0,15.12,0.562,0.253,179.8,50.222,11.533,15.166,0.011490000000000002,0.017815,0
670388,279.4222411111111,37.36245305555555,82.306,14.85,15.1,,34.69,,0.91,0.36,,132.5,14.79,,,,12.921,12.251,11.825,0.3,-45.0,14.85,0.66,,132.5,82.306,11.803,14.369,,0.02127,0
670389,145.92123388888888,-20.47715194444444,29.923,12.47,12.74,10.46,32.21,,1.38,0.31,1.39,86.4,12.45,10.34,0.47,0.86,9.592,8.889,8.63,0.6,50.0,12.47,1.816,1.053,86.4,29.923,8.608,12.422,0.006650000000000001,0.010246,0
670397,268.1115111111111,7.488876944444444,87.181,15.78,16.45,,34.83,,0.67,0.28,0.73,58.0,15.27,,,,12.679,11.821,11.429,0.4,60.0,15.78,0.34,0.177,58.0,87.181,11.372,15.128,0.02074,0.029565,0
670406,38.598323888888885,45.00277305555555,72.792,14.44,15.05,,34.42,,0.92,0.04,0.96,,14.44,,,,12.529,11.866,11.523,0.6,75.0,14.44,0.66,0.587,,72.792,11.48,14.182,0.017040000000000003,0.018431,0
670410,177.75462305555553,20.399195,88.792,14.12,14.45,12.81,34.91,,1.11,0.04,1.13,,14.12,12.72,0.11,0.54,12.218,11.509,11.227,0.7,-45.0,14.12,0.998,0.888,,88.792,11.209,14.023,0.021540000000000004,0.018331,0
670420,301.15472388888884,-50.31018388888888,76.597,14.68,14.93,12.97,36.1,,1.02,0.19,1.02,153.4,14.51,12.89,,,11.997,11.238,10.899,0.8,-20.0,14.68,0.644,0.386,153.4,76.597,10.882,14.69,0.03824,0.031357,0
670423,138.420425,33.325019999999995,48.833,15.87,15.94,14.7,33.54,,0.83,0.34,0.83,118.3,15.28,14.66,,,14.193,13.437,13.339,0.6,-60.0,15.87,0.676,0.309,118.3,48.833,13.332,15.263,0.011330000000000002,0.012529,0
670430,155.31552111111108,25.44290694444444,85.458,16.99,17.09,15.55,34.77,,0.69,0.27,,41.6,16.93,15.5,,,14.272,13.648,13.312,0.5,40.0,16.99,0.49,0.263,41.6,85.458,13.304,16.56,0.020190000000000003,0.044863,0
670433,160.27014194444442,-46.69149805555555,82.958,16.04,16.68,15.22,34.69,,0.73,0.41,,131.7,15.97,14.94,,,14.301,13.58,13.369,0.5,-55.0,16.04,0.537,0.209,131.7,82.958,13.315,16.343,,0.036208,0
670438,311.76379388888887,0.4368569444444444,53.556,15.77,16.77,15.21,33.73,,0.77,0.19,0.8,85.0,16.29,15.03,,,13.741,13.057,12.892,0.6,85.0,15.77,0.589,0.38,85.0,53.556,12.857,15.326,0.012570000000000001,0.013497,0
670450,42.39966194444444,-30.578038888888884,15.028,13.96,14.02,12.33,30.95,,0.92,0.01,0.93,,13.89,12.29,,,11.662,11.043,10.817,0.8,-85.0,13.96,0.588,0.576,,15.028,10.809,13.643,0.004240000000000001,0.012624,0
670458,113.37792999999999,-65.39463805555555,87.111,14.24,14.83,12.99,34.81,,1.02,0.56,1.05,119.8,13.38,12.73,,,11.899,11.129,10.778,0.6,-70.0,14.24,0.675,0.27,119.7,87.111,10.728,15.03,0.021970000000000003,0.024955,0
670462,3.067011944444444,29.14231111111111,95.069,16.36,16.53,,34.98,,0.67,0.14,,,16.3,,,,14.168,13.571,13.133,0.9,25.0,16.36,0.338,0.243,,95.069,13.119,16.753,,0.085901,0
670464,198.42803999999998,-40.04071,43.486,15.58,16.1,,33.3,,0.99,0.55,1.01,120.5,14.7,,,,13.557,13.003,12.604,0.3,-65.0,15.58,0.977,0.276,120.7,43.486,12.559,15.339,0.010940000000000002,0.027619,0
670480,138.82063305555553,11.88564611111111,67.389,13.15,14.14,12.47,34.3,34.56,1.28,0.79,1.27,87.2,13.16,12.41,,,11.059,10.344,10.042,0.3,90.0,13.15,1.346,0.404,88.0,67.389,10.031,13.45,0.016530000000000003,0.019411,0
670496,121.5454711111111,73.32993305555554,75.486,15.16,15.73,,34.49,,0.87,0.25,0.87,114.0,15.16,,,,14.092,13.481,13.242,0.5,-65.0,15.16,0.741,0.416,114.0,75.486,13.229,14.875,,0.01895,0
670498,135.03884888888888,-18.901738888888886,27.028,14.67,15.48,13.66,32.66,,0.99,0.5,1.04,46.4,14.67,13.33,,,13.002,12.261,12.045,0.5,45.0,14.67,0.659,0.198,46.4,27.028,11.98,14.669,0.008260000000000002,0.017082,0
670529,188.91111805555553,-0.20600611111111108,95.431,14.86,16.27,14.82,35.0,,0.99,0.69,0.97,42.5,14.99,14.78,,,13.688,12.938,12.541,0.2,45.0,14.86,0.977,0.199,42.5,95.431,12.533,15.845,0.022800000000000004,0.053022,0
670535,165.45445305555555,24.19750194444444,90.528,16.61,16.67,15.62,34.88,,0.77,0.45,,154.0,16.54,15.59,,,14.776,14.149,13.858,0.4,-25.0,16.61,0.589,0.209,154.0,90.528,13.852,15.878,0.021290000000000003,0.028442,0
670542,145.12931805555553,-8.94360111111111,28.569,13.61,13.96,13.21,32.3,,1.27,0.08,1.29,118.8,13.61,13.12,,,13.33,12.74,12.438,0.6,-45.0,13.61,1.442,1.168,118.8,28.569,12.421,14.214,0.006890000000000001,0.008108,0
670552,215.76028388888886,-34.29185888888888,52.903,13.51,14.02,11.6,33.73,,1.15,0.08,1.21,86.0,13.51,11.4,0.46,0.85,10.897,10.181,9.966,0.8,-80.0,13.51,0.975,0.722,86.0,52.903,9.927,13.569,0.013120000000000001,0.013026,0
670554,353.49316388888883,44.68006111111111,65.931,14.52,15.21,,34.19,,0.99,0.14,1.02,150.5,14.52,,,,12.22,11.571,11.257,0.9,-70.0,14.52,0.811,0.77,150.5,65.931,11.22,13.944,0.015150000000000002,0.013845,0
670559,208.27433805555552,-28.799489999999995,69.931,15.22,15.5,13.13,34.34,,0.91,0.12,,165.0,15.17,13.0,,,12.515,11.796,11.551,0.6,-10.0,15.22,0.813,0.617,165.0,69.931,11.527,14.892,0.017040000000000003,0.022226,0
670572,117.54105388888887,48.47907305555555,95.583,16.39,16.63,15.09,35.0,,0.65,0.24,,55.7,16.33,14.98,,,13.78,13.054,12.712,0.5,55.0,16.39,0.447,0.257,55.7,95.583,12.692,16.294,0.022400000000000003,0.023998,0
670599,53.484801944444435,9.267508888888887,77.139,14.39,16.7,,34.54,,0.67,0.18,0.85,157.5,14.39,,,,13.51,12.694,12.319,0.3,-25.0,14.39,0.511,,157.5,77.139,12.153,14.533,,0.026457,0
670602,173.08999611111108,0.8040399999999999,81.403,13.55,13.79,12.1,34.68,,1.03,0.04,1.04,,13.56,12.04,-0.07,0.68,11.018,10.37,10.034,1.0,-55.0,13.55,0.889,0.827,,81.403,10.023,13.662,0.019840000000000003,0.016756,0
670605,21.760011944444443,-10.265284999999999,96.25,14.72,14.99,13.15,35.02,,1.08,0.43,1.08,128.4,14.72,13.08,,,11.671,10.974,10.678,0.8,-80.0,14.72,0.811,0.535,128.4,96.25,10.665,14.582,0.023320000000000004,0.03198,0
670611,248.83627305555552,17.765334999999997,33.847,15.64,15.86,14.85,33.13,,0.63,0.04,,,15.57,14.74,,,13.974,13.39,13.223,0.7,70.0,15.64,0.621,,,33.847,13.201,15.65,0.00914,0.013014,0
670615,147.87085,-11.671216111111109,74.111,15.59,15.78,14.24,34.45,,0.93,0.12,,,15.54,14.16,,,12.671,11.995,11.747,0.7,-30.0,15.59,0.851,0.646,,74.111,11.731,15.299,0.01802,0.02783,0
670619,67.53774305555555,-42.68230805555555,66.181,15.05,16.29,14.4,34.21,,1.19,0.9,1.16,180.0,14.98,14.36,,,13.33,12.346,11.986,0.3,0.0,15.05,1.549,0.195,180.0,66.181,11.977,16.207,0.016700000000000003,0.037019,0
670622,68.67669694444443,-42.61633305555555,86.722,17.12,17.2,14.9,34.8,,0.49,0.16,,128.5,17.06,14.87,,,13.795,13.079,12.67,0.6,-50.0,17.12,0.223,0.154,128.5,86.722,12.663,16.763,0.021680000000000005,0.054678,0
670645,359.68603499999995,-16.83575388888889,75.694,14.9,15.55,14.28,34.11,,0.99,0.48,0.98,101.8,14.92,14.23,,,14.11,13.424,13.109,0.5,-80.0,14.9,0.588,0.212,101.8,75.694,13.1,15.1,0.015580000000000002,0.019216,0
670676,139.3511811111111,34.674503055555554,99.806,15.62,15.69,14.37,35.1,,0.8,0.15,,54.8,15.55,14.34,,,13.008,12.289,11.994,0.8,50.0,15.62,0.631,0.447,54.8,99.806,11.988,15.801,0.023430000000000003,0.023064,0
670682,175.98924305555553,19.935653888888886,90.25,16.76,16.96,15.42,35.09,,0.58,0.16,0.58,90.5,16.76,15.38,,,14.306,13.712,13.491,0.8,80.0,16.76,0.199,0.165,90.5,90.25,13.483,16.38,0.023440000000000003,0.024172,0
670695,123.0641861111111,-67.6739811111111,95.097,14.35,15.24,13.34,34.99,,0.99,0.34,1.06,103.5,13.82,12.95,,,12.29,11.483,11.092,0.5,-75.0,14.35,0.977,0.446,103.5,95.097,11.017,14.419,0.024520000000000004,0.03611,0
670705,184.51954694444441,15.965778888888886,96.764,14.59,15.62,,35.03,,0.96,0.52,0.95,169.4,14.59,,,,13.049,12.297,12.1,0.3,-5.0,14.59,0.912,0.275,169.3,96.764,12.09,14.827,0.022890000000000004,0.03454,0
670707,202.49958805555553,0.30511111111111106,89.139,14.55,14.76,12.75,34.9,,0.89,0.03,0.91,,14.55,12.7,,,11.721,10.989,10.783,0.8,-15.0,14.55,0.83,0.481,,89.139,10.774,14.33,0.021560000000000003,0.022917,0
670714,117.35381305555553,74.33416,56.278,14.23,14.41,,33.93,,0.97,0.29,0.98,121.0,14.23,,0.26,0.72,11.822,11.15,10.908,0.5,-60.0,14.23,0.601,0.313,121.0,56.278,10.899,14.312,0.013180000000000002,0.014721,0
670716,63.892241944444436,-40.66271611111111,77.792,15.68,15.77,,34.55,,0.79,0.24,0.79,57.9,15.25,,,,13.571,12.897,12.565,0.7,-70.0,15.68,0.617,0.355,57.9,77.792,12.558,15.023,0.019480000000000004,0.035259,0
670742,350.44692999999995,43.99316805555555,49.528,15.1,15.94,,34.57,,0.9,0.03,0.99,,15.02,,,,11.74,11.009,10.685,0.7,-30.0,15.1,0.6,0.558,,49.528,10.614,14.369,0.018170000000000002,0.018984,0
670753,299.39028888888885,-55.57793388888888,69.639,13.99,14.32,12.35,34.3,,1.13,0.12,1.15,95.5,13.99,12.23,,,11.231,10.513,10.264,0.5,-85.0,13.99,0.869,0.443,95.5,69.639,10.242,14.101,0.017320000000000002,0.017652,0
670764,222.79325888888886,-26.638278888888884,27.139,14.89,15.61,13.59,33.07,,0.85,0.23,0.91,144.8,14.89,13.29,,,12.943,12.212,11.919,0.6,-15.0,14.89,0.466,0.27,144.8,27.139,11.862,14.57,0.00952,0.031197,0
670797,151.00884999999997,-6.474756944444444,67.597,12.34,13.0,11.67,34.32,,1.27,0.32,1.27,170.6,12.34,11.6,,,10.7,9.965,9.599,0.6,-35.0,12.34,1.12,0.538,170.6,67.597,9.586,13.063,0.017020000000000004,0.013044,0
670844,205.53665194444443,-30.763493888888885,64.569,13.19,13.65,11.4,34.15,,1.22,0.29,1.23,106.9,13.11,11.28,,,10.441,9.75,9.489,0.6,-75.0,13.19,1.66,0.852,106.9,64.569,9.466,13.306,0.015870000000000002,0.013964,0
670852,194.36025999999998,-3.490973055555555,42.139,14.29,14.38,12.77,33.3,,1.11,0.09,1.12,146.2,14.24,12.73,,,11.385,10.687,10.472,0.6,-10.0,14.29,0.199,0.161,146.2,42.139,10.464,14.096,0.010270000000000001,0.015752,0
670857,192.9732511111111,-12.604386944444443,63.278,16.27,16.44,,34.11,,0.67,0.14,,55.5,16.22,,,,13.298,12.71,12.481,0.5,70.0,16.27,0.468,0.339,55.5,63.278,12.467,15.828,0.015280000000000002,0.02736,0
670877,45.894816944444436,46.38631805555555,35.318,11.31,12.34,9.96,32.84,32.74,1.52,0.23,1.6,42.9,11.08,9.55,,0.68,9.211,8.452,8.166,0.7,90.0,11.31,3.231,1.906,42.9,35.318,8.088,12.225,0.007960000000000002,0.009535,0
670899,339.6752930555555,-22.384683888888887,46.486,16.28,16.4,,33.44,,0.74,0.2,,76.5,16.24,,,,13.118,12.391,11.999,0.7,75.0,16.28,0.55,0.347,76.5,46.486,11.989,15.76,,0.066652,0
670919,160.53144805555553,13.746929999999999,24.434,10.99,11.44,10.66,31.52,31.73,1.09,0.24,1.09,97.0,10.89,10.6,-0.07,0.51,9.4,8.731,8.448,0.6,90.0,10.99,3.795,2.353,97.0,24.434,8.437,11.387,0.004320000000000001,0.010679,0
670952,202.8320619444444,-1.6149230555555554,89.292,14.93,15.19,13.27,34.9,,0.94,0.04,0.96,,14.93,13.2,,,12.302,11.588,11.305,0.8,-15.0,14.93,0.601,0.523,,89.292,11.291,14.551,0.021570000000000002,0.019812,0
670993,269.26956194444443,12.23980111111111,42.861,13.2,14.2,,33.27,,1.03,0.15,1.1,106.7,13.2,,,,11.394,10.606,10.418,0.6,-70.0,13.2,0.793,0.626,106.7,42.861,10.355,12.97,0.009810000000000001,0.011437,0
671010,281.9240111111111,-63.40568194444444,61.694,13.91,14.36,12.16,33.46,,1.3,0.66,1.31,28.8,13.91,11.99,0.41,0.72,11.169,10.463,10.193,0.4,30.0,13.91,1.146,0.344,28.8,61.694,10.16,14.053,0.011660000000000002,0.020982,0
671014,11.580741944444442,51.21745305555555,75.792,13.13,14.88,12.91,34.51,,1.14,0.43,1.21,103.0,13.14,12.48,,,12.014,11.262,10.93,0.4,-75.0,13.13,1.146,0.481,103.0,75.792,10.849,13.826,0.017580000000000002,0.018631,0
671036,188.2000119444444,37.62180305555555,18.365,12.2,13.34,,30.07,31.32,1.56,0.56,1.54,32.6,12.31,,,,12.41,11.741,11.606,0.2,35.0,12.2,2.75,0.743,32.0,18.365,11.602,18.334,0.0016500000000000002,0.011948,0
671045,39.367824999999996,21.141953888888885,57.194,14.5,15.15,,33.87,,0.23,0.0,,,14.46,,,,13.901,13.288,12.928,0.8,-40.0,14.5,0.132,0.132,,57.194,12.873,15.497,,0.024195,0
671052,194.61538694444442,-8.858664999999998,61.472,16.14,16.29,14.4,34.05,,0.7,0.2,,138.5,16.1,14.34,,,13.973,13.365,13.012,0.5,-50.0,16.14,0.501,0.316,138.5,61.472,13.0,16.088,0.014780000000000001,0.028842,0
671056,15.178558055555554,-19.858054999999997,76.75,15.94,16.04,14.07,34.52,,0.89,0.46,0.88,139.3,15.88,14.04,,,13.344,12.571,12.317,0.5,-40.0,15.94,0.776,0.269,139.3,76.75,12.311,15.92,0.018880000000000004,0.036745,0
671068,29.181399999999996,15.014768888888886,65.139,14.28,14.91,13.15,34.15,,0.93,0.28,0.94,0.7,14.28,13.04,,,12.338,11.66,11.294,0.5,10.0,14.28,0.645,0.4,2.5,65.139,11.273,14.236,0.015660000000000004,0.029897,0
671070,168.12936388888886,23.27671111111111,98.639,15.02,15.08,13.35,34.99,,0.99,0.14,1.0,56.2,14.91,13.32,,,11.94,11.226,11.041,0.8,40.0,15.02,0.675,0.527,56.2,98.639,11.036,14.707,0.022390000000000004,0.019431,0
671110,145.87420694444444,9.420781944444443,44.542,15.12,15.19,13.73,33.41,,0.99,0.15,0.99,146.3,14.9,13.69,,,12.44,11.777,11.562,0.9,-80.0,15.12,1.347,0.512,146.3,44.542,11.553,14.945,0.010960000000000001,0.019087,0
671112,193.21040305555553,-40.4516261111111,46.345,12.76,13.67,11.71,33.66,33.33,1.25,0.28,1.29,99.0,12.71,11.51,,0.53,10.801,10.081,9.804,0.5,-75.0,12.76,1.286,0.669,97.2,46.345,9.765,13.101,0.012800000000000002,0.013751,0
671117,30.95753305555555,14.739018055555553,51.708,13.16,14.07,12.41,33.61,,1.39,0.57,1.39,9.6,13.21,12.3,,,10.794,10.056,9.774,0.3,10.0,13.16,1.817,0.836,9.5,51.708,9.753,13.738,0.012090000000000002,0.01879,0
671131,87.82465388888888,79.69618999999999,61.042,13.85,14.38,,34.09,,1.17,0.16,1.21,14.5,13.85,,,,10.494,9.711,9.44,0.7,5.0,13.85,0.998,0.868,14.5,61.042,9.4,13.333,0.014160000000000002,0.016936,0
671149,207.85514805555553,-28.273248888888887,64.236,15.11,15.41,13.13,34.13,,0.9,0.12,,,15.06,13.0,,,12.389,11.676,11.426,0.8,-65.0,15.11,0.794,0.603,,64.236,11.401,14.945,0.015660000000000004,0.019255,0
671154,194.26557888888885,-10.761764999999999,54.278,14.05,14.36,11.85,33.78,,1.14,0.15,1.17,92.5,14.05,11.74,,,11.045,10.334,10.055,0.8,-85.0,14.05,1.38,0.977,92.5,54.278,10.033,13.599,0.013060000000000002,0.017153,0
671160,79.8970261111111,-77.72872888888888,64.667,12.62,14.02,11.41,34.11,,1.24,0.27,1.33,63.7,12.62,10.93,,,9.886,9.082,8.791,0.4,70.0,12.62,1.41,0.62,63.7,64.667,8.698,15.851,0.01616,0.013448,0
671164,43.61452499999999,41.51362611111111,72.736,16.64,17.12,,34.3,,0.64,0.3,,4.5,16.6,,,,13.994,13.398,13.132,0.5,10.0,16.64,0.3,0.15,4.5,72.736,13.092,16.474,,0.024774,0
671179,299.15914888888886,-48.09047694444444,94.444,16.01,16.2,14.79,34.98,,0.63,0.11,,61.0,15.94,14.71,,,14.304,13.626,13.39,0.8,80.0,16.01,0.427,0.331,61.0,94.444,13.374,15.617,,0.030076,0
671186,30.344249999999995,-38.270068888888886,83.625,15.42,15.46,13.88,34.68,,0.72,0.06,0.72,105.2,15.25,13.84,,,13.243,12.615,12.348,0.8,50.0,15.42,0.362,0.322,105.2,83.625,12.34,15.202,0.020630000000000003,0.030795,0
671195,175.93327305555553,20.272588888888887,89.694,14.7,15.18,13.22,35.04,,0.97,0.44,0.96,38.2,14.78,13.18,,,12.167,11.501,11.217,0.4,35.0,14.7,0.573,,38.2,89.694,11.21,14.934,0.022940000000000002,0.020105,0
671205,173.57565305555553,15.596003055555553,72.944,16.66,16.84,,34.42,,0.51,0.18,,109.0,16.61,,,,14.729,14.157,13.688,0.6,-70.0,16.66,0.324,0.214,109.0,72.944,13.673,16.212,0.017220000000000003,0.029889,0
671217,277.7321780555555,-66.65171805555555,60.875,13.52,15.15,13.67,33.97,,1.17,0.7,1.18,176.6,13.52,13.49,,,13.065,12.454,12.236,0.2,-5.0,13.52,0.932,0.205,177.1,60.875,12.202,14.284,0.015000000000000003,0.012805,0
671228,66.98655694444443,40.84824,82.639,15.34,18.18,,34.71,,0.47,0.12,0.71,53.0,15.34,,,,14.234,13.386,13.009,0.5,55.0,15.34,0.515,,53.0,82.639,12.789,16.182,,0.033749,0
671238,42.14328388888888,-0.9933280555555555,96.653,15.84,16.46,14.87,35.03,,1.02,0.47,1.02,90.2,15.76,14.77,,,13.5,12.569,12.143,0.2,90.0,15.84,1.047,0.355,90.2,96.653,12.123,15.81,0.023490000000000004,0.0376,0
671240,217.97517388888886,-32.60491888888888,61.708,15.26,15.54,13.93,34.05,,0.76,0.16,,85.0,15.21,13.8,,,13.44,12.777,12.669,0.6,70.0,15.26,0.575,0.398,85.0,61.708,12.645,14.927,0.015140000000000002,0.01615,0
671241,101.97856888888887,84.1619111111111,63.139,13.54,14.73,,34.15,,1.15,0.56,1.15,1.3,13.54,,,,13.113,12.604,12.357,0.3,-5.0,13.54,1.228,0.246,1.3,63.139,12.335,14.348,,0.01277,0
671253,228.59329194444442,-44.004054999999994,69.944,15.44,16.26,14.01,34.34,,0.82,0.74,0.87,24.2,14.86,13.64,,,12.536,11.704,11.304,0.4,25.0,15.44,0.508,,24.2,69.944,11.234,15.206,0.016900000000000002,0.027656,0
671280,315.8745419444444,-11.41468611111111,73.847,15.96,16.31,14.33,34.44,,0.64,0.08,,169.0,15.9,14.18,,,12.882,12.21,11.896,0.9,15.0,15.96,0.437,0.364,169.0,73.847,11.868,15.632,0.017780000000000004,0.026227,0
